URL,hxxp://kumar807.blogspot.com/feeds/posts/default
URL,hxxp://kumar807.wordpress.com/feed
URL,hxxp://kumar807.livejournal.com/data/rss
URL,hxxp://blogs.rediff.com/kumar807/feed
URL,hxxp://kumar807.thoughts.com/feed
URL,hxxp://kumar807.tumblr.com/rss
URL,hxxp://www.blogster.com/kapoorsunil09/profile/rss
URL,hxxp://kumarsingh1976.wordpress.com/feed
URL,hxxp://musictelevision.blogspot.com/feeds/posts/default
Host,kumar807.blogspot.com
Host,kumar807.wordpress.com
Host,kumar807.livejournal.com
Host,blogs.rediff.com
Host,kumar807.thoughts.com
Host,kumar807.tumblr.com
Host,kumarsingh1976.wordpress.com
Host,musictelevision.blogspot.com
Host,ky.tk
Host,gh.tk
Host,ie.tk
Host,aju.org
